Accession	Division
Pyrus_bretschneideri	Plant
Pyrus_communis	Plant
Rosa_chinensis	Plant
Rubus_occidentalis	Plant
Setaria_italica	Plant
Solanum_lycopersicum	Plant
Solanum_tuberosum	Plant
Sorghum_bicolor	Plant
Thellungiella_salsuginea	Plant
Theobroma_cacao	Plant
Trifolium_pratense	Plant
Vigna_angularis.Vigan1	Plant
Vigna_radiata	Plant
Vitis_vinifera	Plant
Zea_mays.B73	Plant
Zea_mays.HuangZaoSi	Plant
Zea_mays.Mo17	Plant
Zea_mays.SK	Plant
Zea_mays.W22	Plant
Ailuropoda_melanoleuca	Vertebrate
Amphiprion_percula	Vertebrate
Anas_platyrhynchos_platyrhynchos	Vertebrate
Anolis_carolinensis	Vertebrate
Apteryx_haastii	Vertebrate
Astatotilapia_calliptera	Vertebrate
Astyanax_mexicanus	Vertebrate
Betta_splendens	Vertebrate
Bison_bison_bison	Vertebrate
Bos_indicus_hybrid	Vertebrate
Bos_mutus	Vertebrate
Bos_taurus	Vertebrate
Calidris_pugnax	Vertebrate
Callorhinchus_milii	Vertebrate
Canis_familiaris	Vertebrate
Capra_hircus	Vertebrate
Chelonoidis_abingdonii	Vertebrate
Chlorocebus_sabaeus	Vertebrate
Chrysemys_picta_bellii	Vertebrate
Ciona_intestinalis	Vertebrate
Cottoperca_gobio	Vertebrate
Coturnix_japonica	Vertebrate
Cricetulus_griseus_picr	Vertebrate
Cynoglossus_semilaevis	Vertebrate
Denticeps_clupeoides	Vertebrate
Equus_caballus	Vertebrate
Erpetoichthys_calabaricus	Vertebrate
Esox_lucius	Vertebrate
Felis_catus	Vertebrate
Gallus_gallus	Vertebrate
Gasterosteus_aculeatus	Vertebrate
Gorilla_gorilla	Vertebrate
Gouania_willdenowi	Vertebrate
Heterocephalus_glaber_male	Vertebrate
Homo_sapiens	Vertebrate
Ictalurus_punctatus	Vertebrate
Larimichthys_crocea	Vertebrate
Lepisosteus_oculatus	Vertebrate
Macaca_fascicularis	Vertebrate
Macaca_mulatta	Vertebrate
Maylandia_zebra	Vertebrate
Meleagris_gallopavo	Vertebrate
Microcebus_murinus	Vertebrate
Microtus_ochrogaster	Vertebrate
Monodelphis_domestica	Vertebrate
Mus_caroli	Vertebrate
Mus_musculus_129s1svimj	Vertebrate
Mus_musculus_aj	Vertebrate
Mus_musculus_akrj	Vertebrate
Mus_pahari	Vertebrate
Mus_spretus	Vertebrate
Nomascus_leucogenys	Vertebrate
Numida_meleagris	Vertebrate
Oreochromis_niloticus	Vertebrate
Ornithorhynchus_anatinus	Vertebrate
Oryctolagus_cuniculus	Vertebrate
Oryzias_latipes	Vertebrate
Ovis_aries	Vertebrate
Pan_paniscus	Vertebrate
Pan_troglodytes	Vertebrate
Papio_anubis	Vertebrate
Parambassis_ranga	Vertebrate
Parus_major	Vertebrate
Peromyscus_maniculatus_bairdii	Vertebrate
Poecilia_reticulata	Vertebrate
Pongo_abelii	Vertebrate
Rattus_norvegicus	Vertebrate
Scophthalmus_maximus	Vertebrate
Sus_scrofa	Vertebrate
Taeniopygia_guttata	Vertebrate
Takifugu_rubripes	Vertebrate
Tetraodon_nigroviridis	Vertebrate
Theropithecus_gelada	Vertebrate
Xenopus_tropicalis	Vertebrate
Xiphophorus_maculatus	Vertebrate
Zonotrichia_albicollis	Vertebrate
