LIR	WT_R1	WT_R2	Mut_R1	Mut_R2
osmp.Chr01:11648367--11650028,11651612--11653293	727	1146	585	1211
osmp.Chr01:11650474--11650917,11665234--11665665	2242	2489	1980	3381
osmp.Chr01:11650474--11651007,11653463--11653989	241	247	270	412
osmp.Chr01:11651612--11653297,11662826--11664491	2274	2400	1869	3263
osmp.Chr01:11653463--11653991,11654567--11655101	145	111	142	285
osmp.Chr01:11654569--11657397,11662828--11665665	1973	2222	1747	2987
osmp.Chr01:11662829--11665665,11679016--11681866	1579	2010	1406	2690
osmp.Chr01:11679015--11679447,11691516--11691944	2046	2634	2291	5045
osmp.Chr01:11679806--11681868,11689467--11691528	2045	2616	2238	4979
osmp.Chr01:11689465--11691528,11692788--11694864	557	624	382	541
osmp.Chr01:11689469--11691528,11700442--11702515	1445	1628	1040	1434
osmp.Chr01:11691491--11691943,11691989--11692454	20	7	13	25
osmp.Chr01:11691491--11691946,11699640--11700108	1199	1362	737	1082
osmp.Chr01:11787241--11788137,11789536--11790446	1205	1317	1322	2189
osmp.Chr01:11790938--11791682,11805188--11805922	16624	12532	13510	21392
osmp.Chr01:12087612--12088062,12088241--12088686	109	173	249	334
osmp.Chr01:12266862--12267280,12267660--12268076	54	113	71	110
osmp.Chr01:12267020--12267435,12267660--12268073	51	113	71	105
osmp.Chr01:12267191--12267615,12267635--12268058	51	113	71	103
osmp.Chr01:12294095--12296476,12310701--12313081	1810	1885	1507	2012
osmp.Chr01:12296445--12296937,12310401--12310892	1235	1197	935	1204
osmp.Chr01:12298329--12301015,12310397--12313082	1372	1363	1066	1423
osmp.Chr01:12307240--12309925,12310397--12313081	939	775	546	826
osmp.Chr01:12311535--12312847,12315521--12316901	429	389	397	563
osmp.Chr01:12436089--12439030,12443895--12446872	1132	1273	1119	1836
osmp.Chr01:12436095--12443894,12447983--12455856	1835	2063	1686	3135
osmp.Chr01:12447313--12447990,12455854--12456531	972	1008	981	1707
osmp.Chr01:12455854--12456531,12463085--12463762	1664	1439	1004	1870
osmp.Chr01:12461242--12462643,12474928--12476333	2351	1805	1736	3197
osmp.Chr01:12468867--12471985,12474928--12477921	1507	988	992	1530
osmp.Chr01:12547789--12548655,12554242--12555079	1078	1495	1077	1780
osmp.Chr01:13048650--13049554,13055173--13056050	1279	1115	1204	1901
osmp.Chr01:1310416--1311150,1312402--1313134	7606	5679	10200	16527
osmp.Chr01:13113725--13114248,13115271--13115791	879	696	505	1265
osmp.Chr01:13114482--13115278,13118269--13119065	1630	1589	1205	2099
osmp.Chr01:13174748--13177756,13179560--13182557	106	128	165	243
osmp.Chr01:13194472--13195114,13200315--13200934	829	1298	1158	1945
osmp.Chr01:13206718--13207167,13209324--13209737	2	4	4	4
osmp.Chr01:13232469--13232895,13233253--13233691	1432	1537	2042	3377
osmp.Chr01:13248585--13250236,13263646--13265269	2192	2028	1488	2549
osmp.Chr01:13248589--13251491,13259414--13262342	1105	1220	846	1442
osmp.Chr01:1326887--1327753,1333667--1334574	2461	2343	2764	4329
osmp.Chr01:13370059--13371426,13374851--13376220	1786	1877	947	1358
osmp.Chr01:13370059--13371426,13379743--13381112	2306	2381	1740	2158
osmp.Chr01:13371317--13372197,13373952--13374809	1057	1099	248	474
osmp.Chr01:13371317--13372473,13378530--13379701	1854	1837	1127	1571
osmp.Chr01:13372172--13372578,13385186--13385602	1266	1359	1587	1857
osmp.Chr01:13545118--13547019,13547049--13548928	4	4	2	3
osmp.Chr01:13549863--13552141,13562687--13564985	6945	4578	5312	8407
osmp.Chr01:1379825--1384814,1393164--1398171	5003	5440	5320	8856
osmp.Chr01:13818610--13819349,13826403--13827142	1989	3488	1167	2687
osmp.Chr01:13821548--13822374,13826403--13827229	1463	2622	963	1897
osmp.Chr01:1384969--1385460,1394837--1395335	3693	4268	4171	6920
osmp.Chr01:13849966--13851416,13855764--13857258	2488	2474	2457	4094
osmp.Chr01:14113975--14116803,14124421--14127283	1811	1701	1482	2082
osmp.Chr01:14122863--14124421,14125688--14127287	500	577	405	579
osmp.Chr01:14122878--14123331,14134480--14134934	1853	1655	1512	2557
osmp.Chr01:14124654--14126103,14130334--14131786	1062	1094	1035	1670
osmp.Chr01:14126206--14127287,14128988--14130079	567	292	469	946
osmp.Chr01:14129004--14130447,14133511--14134933	755	958	831	1400
osmp.Chr01:14129004--14130447,14138682--14140105	1446	1492	1278	2259
osmp.Chr01:14130286--14131815,14131995--14133521	482	668	473	757
osmp.Chr01:14130335--14131815,14137169--14138642	1316	1352	1156	2020
osmp.Chr01:14131822--14133468,14146972--14148638	3303	3798	2887	4900
osmp.Chr01:14134509--14134934,14145815--14146241	2898	3353	2542	4439
osmp.Chr01:14135782--14136446,14150276--14150946	3373	3676	2888	4821
osmp.Chr01:14136943--14138638,14146972--14148690	2634	3207	2405	4005
osmp.Chr01:14139681--14140106,14145815--14146241	1908	2537	1908	3104
osmp.Chr01:14155839--14157453,14168471--14170081	3253	3055	2201	3647
osmp.Chr01:14164513--14167422,14179955--14182896	2327	2993	2097	3366
osmp.Chr01:14168471--14170073,14178272--14179890	1951	2302	1622	2352
osmp.Chr01:14170877--14171414,14177117--14177661	990	855	873	1300
osmp.Chr01:14172828--14177121,14179953--14184232	1708	1640	1202	2288
osmp.Chr01:14178272--14179952,14192763--14194426	10945	11414	9719	15278
osmp.Chr01:14192763--14194600,14194979--14196816	1065	1049	1224	1195
osmp.Chr01:14195176--14196816,14204897--14206559	11982	12617	10888	17239
osmp.Chr01:14200363--14201608,14207717--14209007	618	487	457	491
osmp.Chr01:14253865--14254568,14260352--14261052	2726	3379	3385	5634
osmp.Chr01:14265525--14265940,14266237--14266651	1184	1530	1369	2349
osmp.Chr01:14265525--14266092,14266159--14266651	1184	1530	1369	2349
osmp.Chr01:14337203--14338412,14342564--14343777	2285	2655	2127	3832
osmp.Chr01:14354300--14355207,14368793--14369690	2161	2071	2155	4280
osmp.Chr01:14354550--14355373,14368772--14369587	2114	2009	2083	4161
osmp.Chr01:14371325--14372230,14375837--14376729	6	2	2	4
osmp.Chr01:14374800--14376730,14388043--14389931	5013	4845	5926	7608
osmp.Chr01:14385078--14385706,14386982--14387609	313	344	335	598
osmp.Chr01:14388044--14388936,14399247--14400141	7598	6481	5797	9130
osmp.Chr01:14401895--14402396,14407397--14407884	9450	6253	6870	10281
osmp.Chr01:14403206--14405300,14405347--14407403	0	0	0	2
osmp.Chr01:14543754--14546130,14556955--14559338	1927	1194	1927	2356
osmp.Chr01:14546093--14556145,14556182--14566079	2106	1672	2179	2967
osmp.Chr01:14552835--14555211,14565878--14568261	2155	1399	1997	2747
osmp.Chr01:14552835--14556145,14565105--14568261	1996	1421	2024	2767
osmp.Chr01:1460107--1460920,1466869--1467614	3731	4611	3618	5921
osmp.Chr01:1461107--1463920,1464073--1466872	3444	4090	3223	5292
osmp.Chr01:1461107--1463920,1478120--1480919	5423	7362	5689	9102
osmp.Chr01:14705511--14706162,14709468--14710170	2033	1597	931	1688
osmp.Chr01:14705896--14706303,14709410--14709809	256	258	213	353
osmp.Chr01:14759296--14761124,14772202--14773950	1373	2193	1809	2764
osmp.Chr01:14761702--14762147,14771756--14772202	1062	1801	1573	2347
osmp.Chr01:14868559--14868963,14871896--14872297	167	218	166	308
osmp.Chr01:1487299--1489031,1497587--1499299	499	722	630	1107
osmp.Chr01:1487334--1488812,1491149--1492675	36	8	17	16
osmp.Chr01:15221541--15222926,15230606--15232042	606	512	409	916
osmp.Chr01:15222766--15224477,15228915--15230616	494	427	383	722
osmp.Chr01:15228916--15230566,15234912--15236580	654	496	432	947
osmp.Chr01:15230606--15232042,15233609--15235024	268	188	123	335
osmp.Chr01:15282518--15282964,15282968--15283410	34	44	21	55
osmp.Chr01:15292645--15293924,15308277--15309550	3510	2767	2523	3523
osmp.Chr01:15485050--15485742,15491720--15492411	1157	913	914	1804
osmp.Chr01:15485050--15486996,15497495--15499478	2274	2334	1587	3159
osmp.Chr01:15485739--15486996,15487252--15488548	445	468	399	374
osmp.Chr01:15487006--15488055,15490063--15491127	846	502	604	797
osmp.Chr01:15487954--15488551,15489395--15490012	63	58	61	121
osmp.Chr01:15488811--15489400,15491721--15492305	639	353	455	1285
osmp.Chr01:15488811--15490019,15498189--15499373	1832	1989	1170	2806
osmp.Chr01:15490063--15491436,15496930--15498297	1690	1489	1077	2529
osmp.Chr01:15546984--15547394,15551972--15552380	7343	9551	8667	14000
osmp.Chr01:15647127--15650352,15650474--15653790	1194	1070	1186	1673
osmp.Chr01:15770921--15772298,15777168--15778552	1028	1251	1009	3148
osmp.Chr01:15837209--15837853,15851066--15851708	3965	5424	4733	7701
osmp.Chr01:15924030--15924629,15924638--15925240	230	321	353	631
osmp.Chr01:15963476--15964215,15966071--15966812	339	538	366	639
osmp.Chr01:16169689--16170420,16171530--16172236	1039	1390	715	1374
osmp.Chr01:16286186--16289098,16300345--16303255	1457	1426	1617	3046
osmp.Chr01:16376477--16376926,16376951--16377403	62	126	37	108
osmp.Chr01:16386137--16388899,16394830--16397693	1597	1771	1120	1810
osmp.Chr01:16394828--16396928,16402037--16404081	2094	1329	1304	1669
osmp.Chr01:16395145--16396283,16400178--16401308	1504	910	974	1225
osmp.Chr01:16396402--16397587,16398716--16399897	249	359	276	494
osmp.Chr01:16397049--16397695,16397826--16398456	134	182	150	310
osmp.Chr01:16401944--16403765,16417840--16419681	4769	4853	5062	7895
osmp.Chr01:16420633--16421060,16434073--16434503	4817	5624	5317	8491
osmp.Chr01:16456042--16456831,16468369--16469163	3007	3172	1992	3325
osmp.Chr01:16525435--16526320,16537786--16538691	2189	2354	1111	1817
osmp.Chr01:16534734--16536675,16538887--16540836	3426	3458	1331	2266
osmp.Chr01:16539179--16539938,16542636--16543407	1614	1537	457	894
osmp.Chr01:16681720--16682166,16682196--16682642	80	82	67	115
osmp.Chr01:16681948--16682646,16689752--16690468	2413	2746	2538	4014
osmp.Chr01:16764543--16764969,16778393--16778819	488	517	425	823
osmp.Chr01:16817093--16817799,16817978--16818683	49	54	20	68
osmp.Chr01:16817998--16818436,16818437--16818877	28	33	16	44
osmp.Chr01:16832858--16833581,16841929--16842649	593	542	524	801
osmp.Chr01:16835695--16837050,16843507--16844839	723	588	512	681
osmp.Chr01:16884519--16885043,16892123--16892658	838	974	924	1280
osmp.Chr01:16999455--16999908,17000189--17000641	9	32	12	36
osmp.Chr01:16999687--17000125,17000126--17000565	9	23	12	29
osmp.Chr01:17010215--17011584,17018216--17019580	1633	1867	1885	4442
osmp.Chr01:17010215--17011584,17025044--17026408	2214	2405	2351	5133
osmp.Chr01:17011624--17012353,17017531--17018329	1510	1715	1671	4008
osmp.Chr01:17011624--17012353,17024359--17025157	2000	2236	2284	4797
osmp.Chr01:17013579--17014237,17021523--17022193	1571	1738	1964	2657
osmp.Chr01:17015061--17016431,17018216--17019580	1039	1344	1501	2005
osmp.Chr01:17015061--17016431,17025044--17026408	1648	1801	1961	2686
osmp.Chr01:17016471--17017032,17017723--17018329	540	831	964	1067
osmp.Chr01:17016471--17017032,17024551--17025157	1224	1453	1519	1884
osmp.Chr01:17017147--17017726,17026725--17027318	708	656	791	1127
osmp.Chr01:17023975--17024554,17026725--17027318	149	105	228	299
osmp.Chr01:17065516--17065957,17080440--17080876	6331	6789	6238	10277
osmp.Chr01:17066192--17071740,17085017--17090573	6466	6892	6288	10442
osmp.Chr01:17072242--17076806,17080436--17085015	5253	5278	5183	8391
osmp.Chr01:17232677--17235553,17247891--17250766	2185	2439	2237	3537
osmp.Chr01:17246205--17247886,17252986--17254640	337	409	374	484
osmp.Chr01:17252986--17254640,17267997--17269679	1889	1656	1724	4460
osmp.Chr01:17263045--17264175,17268226--17269363	637	574	819	2927
osmp.Chr01:17263045--17264175,17277139--17278277	1646	1501	1483	4205
osmp.Chr01:17264458--17265639,17266965--17268105	194	243	339	2048
osmp.Chr01:17264458--17265639,17275879--17277018	1321	1399	1170	3376
osmp.Chr01:17543560--17544590,17551826--17552838	1373	2198	1119	2387
osmp.Chr01:17547651--17548806,17550440--17551594	1078	1716	684	1713
osmp.Chr01:17548015--17548806,17554041--17554856	1370	2003	986	2254
osmp.Chr01:17571024--17593426,17604446--17626987	2961	4617	4087	6209
osmp.Chr01:17571024--17597208,17604464--17630499	3023	4635	4069	6226
osmp.Chr01:17571024--17601360,17604279--17634337	3114	4646	4105	6309
osmp.Chr01:17571558--17601990,17604279--17634433	3114	4633	4056	6325
osmp.Chr01:17577217--17578270,17583043--17584097	1097	1969	1264	2065
osmp.Chr01:17581422--17602460,17613688--17634436	2718	3512	2728	4226
osmp.Chr01:17584339--17604277,17613934--17633852	2373	3000	2453	3621
osmp.Chr01:17604444--17622904,17634433--17652507	3484	4858	2885	5189
osmp.Chr01:17604798--17631597,17640048--17666117	3378	5365	2933	5244
osmp.Chr01:17613688--17634432,17641504--17661762	3155	4542	2609	4632
osmp.Chr01:17622209--17623215,17634433--17635436	388	304	244	425
osmp.Chr01:17622525--17623540,17634433--17635436	372	295	262	453
osmp.Chr01:17622849--17623855,17634433--17635436	383	243	305	446
osmp.Chr01:17623160--17624152,17634433--17635436	360	284	283	434
osmp.Chr01:17623486--17624476,17634433--17635436	375	296	284	435
osmp.Chr01:17623951--17624954,17634433--17635436	366	286	264	427
osmp.Chr01:17624422--17625434,17634433--17635436	362	288	230	432
osmp.Chr01:17624574--17625593,17634433--17635436	367	275	239	443
osmp.Chr01:17624900--17625908,17634433--17635436	361	268	249	439
osmp.Chr01:17625216--17626232,17634433--17635436	358	275	222	372
osmp.Chr01:17625539--17626548,17634433--17635436	366	266	236	376
osmp.Chr01:17625853--17626872,17634433--17635436	365	219	261	354
osmp.Chr01:17626655--17627662,17634433--17635436	351	253	227	328
osmp.Chr01:17626818--17627818,17634433--17635436	328	261	213	355
osmp.Chr01:17627130--17628145,17634433--17635436	347	245	204	361
osmp.Chr01:17627445--17628459,17634433--17635436	342	245	204	339
osmp.Chr01:17627607--17628614,17634433--17635436	314	257	206	342
osmp.Chr01:17627763--17628777,17634433--17635436	316	199	249	391
osmp.Chr01:17627927--17628935,17634433--17635436	311	259	206	328
osmp.Chr01:17628404--17629416,17634433--17635436	293	256	221	338
osmp.Chr01:17628559--17629579,17634433--17635436	261	245	187	329
osmp.Chr01:17628881--17629895,17634433--17635436	290	228	179	325
osmp.Chr01:17629034--17630058,17634433--17635436	285	236	211	333
osmp.Chr01:17629199--17630212,17634433--17635436	279	234	206	332
osmp.Chr01:17629840--17630851,17634433--17635436	280	194	146	290
osmp.Chr01:17630157--17631170,17634433--17635436	242	155	168	286
osmp.Chr01:17630320--17631331,17634433--17635436	267	185	133	262
osmp.Chr01:17630797--17631812,17634432--17635436	218	174	131	187
osmp.Chr01:17631117--17632108,17634433--17635436	220	176	121	189
osmp.Chr01:17631431--17632435,17634433--17635436	200	170	135	174
osmp.Chr01:17631905--17632916,17634433--17635436	224	174	120	192
osmp.Chr01:17632054--17633079,17634433--17635436	191	109	118	157
osmp.Chr01:17632217--17633233,17634433--17635436	182	99	95	151
osmp.Chr01:17632533--17633561,17634433--17635436	184	90	81	139
osmp.Chr01:17632697--17633726,17634433--17635436	210	155	111	176
osmp.Chr01:17633178--17634220,17634433--17635436	177	63	81	129
osmp.Chr01:17635436--17636216,17637455--17638249	676	2257	474	1564
osmp.Chr01:17637455--17638248,17639268--17640047	1235	1722	528	999
osmp.Chr01:17672527--17673347,17674911--17675731	958	1121	891	1576
osmp.Chr01:17681964--17682883,17694174--17695088	1891	3261	3649	5963
osmp.Chr01:17683030--17684827,17692394--17694188	1839	3162	3552	5842
osmp.Chr01:17686993--17687423,17695212--17695642	1586	3102	3398	5558
osmp.Chr01:17692394--17695088,17705547--17708299	2396	3388	3205	4869
osmp.Chr01:17693384--17694111,17698663--17699390	1369	2076	2337	3370
osmp.Chr01:17694181--17695081,17697566--17698466	1226	2029	2231	3254
osmp.Chr01:17802186--17802834,17803870--17804505	358	626	470	758
osmp.Chr01:17802186--17803531,17806798--17808131	490	770	609	1019
osmp.Chr01:17860688--17863887,17878008--17881211	2211	2670	2307	3162
osmp.Chr01:17867022--17870172,17874887--17878038	1654	2276	1776	2415
osmp.Chr01:17872105--17874890,17879094--17881879	1077	1357	1341	1587
osmp.Chr01:17874887--17878039,17881879--17885012	931	1328	1399	1475
osmp.Chr01:17874890--17881879,17886917--17893909	1485	1856	1757	2192
osmp.Chr01:17881879--17886921,17893909--17898993	1402	1836	1592	1862
osmp.Chr01:17890762--17893908,17895847--17898994	826	1220	1178	1181
osmp.Chr01:17895847--17897381,17905725--17907266	1471	1977	1697	2144
osmp.Chr01:17896072--17897388,17904170--17905489	823	1066	1328	1060
osmp.Chr01:17897377--17898993,17900052--17901663	120	205	205	238
osmp.Chr01:17905725--17907266,17921797--17923337	3190	2798	2193	4411
osmp.Chr01:17911757--17912861,17926724--17927843	2122	1965	1632	3440
osmp.Chr01:17919339--17921797,17922416--17924947	1794	1100	885	2086
osmp.Chr01:17921789--17924951,17936810--17939973	2444	3019	2546	5388
osmp.Chr01:17921797--17922421,17924948--17925577	787	536	430	1525
osmp.Chr01:18093676--18094149,18106099--18106571	1885	1997	1611	2829
osmp.Chr01:18197457--18198341,18198683--18199577	0	10	10	12
osmp.Chr01:18434417--18435899,18437566--18439053	969	1146	1000	1752
osmp.Chr01:18498397--18498820,18504721--18505126	6819	8982	7553	12497
osmp.Chr01:18590616--18591223,18591255--18591868	86	95	58	154
osmp.Chr01:18644130--18645390,18654144--18655401	1776	1348	2067	1809
osmp.Chr01:18644131--18646559,18646944--18649382	831	583	1437	945
osmp.Chr01:18647239--18652154,18658758--18663654	2889	2636	2793	2578
osmp.Chr01:18652146--18654129,18656078--18658058	789	835	643	780
osmp.Chr01:18654144--18655400,18661525--18662785	1616	1750	1261	1508
osmp.Chr01:18663889--18667082,18679241--18682405	2062	2124	1491	3166
osmp.Chr01:18672819--18676006,18679251--18682408	1681	1622	1146	2624
osmp.Chr01:18681393--18682405,18692954--18693969	1431	2143	1113	1729
osmp.Chr01:18692954--18693773,18693950--18694770	638	1067	537	633
osmp.Chr01:18692982--18693969,18702673--18703661	1290	1949	1114	1725
osmp.Chr01:18725582--18728565,18741437--18744432	1580	1569	1448	2407
osmp.Chr01:18725582--18728568,18732439--18735437	986	864	855	1654
osmp.Chr01:18741437--18744436,18755023--18758019	1810	2556	2413	3653
osmp.Chr01:18745267--18745673,18745848--18746251	98	112	177	289
osmp.Chr01:18756696--18757729,18761826--18762855	1036	1577	1340	2095
osmp.Chr01:1877645--1880838,1881688--1884890	2383	3047	2358	4108
osmp.Chr01:18782737--18786466,18798620--18802339	4663	5116	4166	7497
osmp.Chr01:18812837--18813346,18813380--18813881	89	96	86	175
osmp.Chr01:18813280--18813821,18817343--18817886	779	805	782	1555
osmp.Chr01:19298249--19299921,19309633--19311284	1324	967	975	2131
osmp.Chr01:1931220--1931675,1943179--1943631	4601	5185	5252	8502
osmp.Chr01:1943168--1943633,1957512--1957980	4129	3912	4097	5794
osmp.Chr01:1951903--1954693,1955290--1957969	1479	1180	1605	1928
osmp.Chr01:19660214--19660662,19660873--19661380	338	409	589	807
osmp.Chr01:19698696--19699200,19699217--19699720	3534	2741	3068	5379
osmp.Chr01:2005061--2005478,2012688--2013106	7756	10392	8960	14462
osmp.Chr01:20099230--20100723,20101619--20103105	1343	1548	1320	2186
osmp.Chr01:20681021--20683975,20698070--20700956	5057	7288	5028	10246
osmp.Chr01:20747898--20749455,20756297--20757851	1212	1470	1109	1583
osmp.Chr01:20747898--20749455,20763243--20764794	1616	1851	1338	2008
osmp.Chr01:20750798--20751432,20760318--20760959	818	1009	745	1372
osmp.Chr01:20756005--20758384,20765414--20767791	1349	1583	1142	1718
osmp.Chr01:20762951--20764794,20765949--20767791	969	1147	771	1092
osmp.Chr01:20792162--20793959,20802675--20804519	19110	16807	13285	20448
osmp.Chr01:2081925--2082867,2086459--2087401	467	523	718	1027
osmp.Chr01:20831814--20833010,20840503--20841722	705	682	687	1189
osmp.Chr01:20840549--20843415,20844922--20847780	1499	2325	1509	2137
osmp.Chr01:20844687--20847835,20858237--20861479	2045	2081	1207	2204
osmp.Chr01:20844687--20847837,20850724--20853968	1325	1724	1024	1754
osmp.Chr01:20851711--20853692,20864404--20866300	1401	1554	1253	2103
osmp.Chr01:20859221--20861207,20864399--20866300	992	1134	1049	1613
osmp.Chr01:20871413--20872126,20884199--20884914	806	883	773	1432
osmp.Chr01:20873866--20874397,20885982--20886511	756	819	680	1269
osmp.Chr01:20885415--20885949,20897555--20898093	3820	4373	3711	6121
osmp.Chr01:20892090--20897401,20907536--20912819	3502	3920	3425	5635
osmp.Chr01:20918025--20918527,20919087--20919588	18	45	23	59
osmp.Chr01:20918561--20919022,20919036--20919514	9	13	7	13
osmp.Chr01:20919108--20919567,20919587--20920052	6	13	7	11
osmp.Chr01:20991729--20992145,20995999--20996411	711	828	638	1049
osmp.Chr01:21032060--21032571,21042799--21043310	1527	1368	1440	1103
osmp.Chr01:21032063--21032571,21033864--21034372	1113	812	622	376
osmp.Chr01:21032801--21033870,21044667--21045737	1834	1961	1841	1803
osmp.Chr01:21041736--21042805,21044667--21045737	1470	1490	1198	1041
osmp.Chr01:21417444--21417855,21418130--21418546	38	47	39	54
osmp.Chr01:21499419--21500203,21502191--21502975	468	512	342	660
osmp.Chr01:21538409--21538898,21538908--21539429	3905	2653	2354	3668
osmp.Chr01:21850840--21852302,21859605--21861066	6520	6132	1500	2682
osmp.Chr01:21850844--21852316,21862582--21864050	6751	6224	1649	2796
osmp.Chr01:21853420--21854119,21865643--21866361	6669	6173	1605	2723
osmp.Chr01:21854510--21855028,21868985--21869480	7280	6727	1829	3178
osmp.Chr01:21856025--21857692,21866506--21868164	7382	6752	1805	3192
osmp.Chr01:21858169--21859291,21864054--21865116	203	262	232	400
osmp.Chr01:21861085--21862165,21864049--21865156	150	203	187	313
osmp.Chr01:21915457--21916183,21922741--21923467	7	3	5	8
osmp.Chr01:22060977--22061390,22068296--22068709	1802	2020	1895	3046
osmp.Chr01:2213626--2214035,2221019--2221431	7934	10639	9057	14854
osmp.Chr01:22427825--22428695,22441000--22441878	1647	1925	1653	3106
osmp.Chr01:22580795--22583659,22583915--22586816	2189	2051	1188	1631
osmp.Chr01:22593717--22596717,22598390--22601316	3159	2612	1907	2210
osmp.Chr01:22636769--22637189,22637693--22638112	4191	3586	4755	6032
osmp.Chr01:22639296--22640852,22654878--22656447	3151	3668	2488	4025
osmp.Chr01:22653456--22665504,22669057--22681126	5351	4724	3823	5728
osmp.Chr01:22759628--22761294,22774335--22776008	1116	1193	1388	2168
osmp.Chr01:22774335--22776007,22788135--22789802	1453	1286	1263	1768
osmp.Chr01:22782089--22782552,22790656--22791121	581	589	677	936
osmp.Chr01:22783190--22784860,22788135--22789802	437	438	487	731
osmp.Chr01:22882828--22883230,22890529--22890930	5914	6947	7449	13580
osmp.Chr01:22898210--22898731,22903544--22904076	6	4	5	5
osmp.Chr01:22899013--22900145,22902283--22903423	6	4	3	5
osmp.Chr01:22922185--22922813,22936236--22936826	4856	5738	5588	9237
osmp.Chr01:22923653--22924355,22938207--22938796	5352	6236	5924	9796
osmp.Chr01:22969876--22972721,22976568--22979419	864	947	1065	1294
osmp.Chr01:22993019--22994666,22997294--22998937	880	949	540	1036
osmp.Chr01:22995464--22995894,22996763--22997173	278	368	272	479
osmp.Chr01:23030145--23031251,23031258--23032383	2	0	0	0
osmp.Chr01:23426459--23426871,23432189--23432635	856	745	795	1162
osmp.Chr01:23431627--23433005,23445536--23446909	2232	1907	2005	2732
osmp.Chr01:23508028--23508531,23509123--23509628	18	44	22	72
osmp.Chr01:23508256--23508695,23509115--23509554	9	12	6	24
osmp.Chr01:23508411--23508841,23509123--23509554	7	10	4	17
osmp.Chr01:23508569--23509056,23509070--23509551	7	8	4	15
osmp.Chr01:23625025--23625773,23628385--23629130	93	85	83	173
osmp.Chr01:23850651--23851057,23851980--23852381	339	250	171	275
osmp.Chr01:23922208--23922693,23922812--23923314	869	1054	1228	2085
osmp.Chr01:23977500--23981120,23986520--23990098	164	155	118	238
osmp.Chr01:23981504--23982252,23992299--23992990	149	156	102	243
osmp.Chr01:23982048--23984654,23989660--23992297	135	134	92	219
osmp.Chr01:23990145--23992295,24000924--24003023	1185	1355	1839	2913
osmp.Chr01:23992300--23992990,24000347--24001129	1188	1332	1832	2876
osmp.Chr01:24395612--24396109,24396578--24397072	38	77	50	108
osmp.Chr01:25103794--25104995,25106242--25107439	404	545	614	1124
osmp.Chr01:25159441--25160422,25167551--25168551	9267	5759	6241	9237
osmp.Chr01:25202863--25203278,25203302--25203706	196	101	301	333
osmp.Chr01:25511304--25514094,25522827--25525555	389	593	575	917
osmp.Chr01:25511304--25516312,25516864--25521762	366	554	562	883
osmp.Chr01:25514735--25515661,25528316--25529213	418	650	597	1004
osmp.Chr01:25516313--25516813,25516848--25517417	144	224	236	350
osmp.Chr01:25517595--25518966,25529214--25530577	204	369	288	505
osmp.Chr01:25528436--25529192,25529841--25530520	69	129	156	242
osmp.Chr01:25873351--25873766,25874145--25874569	1214	1236	1884	2422
osmp.Chr01:25873351--25873823,25874145--25874569	1214	1236	1884	2422
osmp.Chr01:25943477--25943896,25947119--25947536	410	481	381	705
osmp.Chr01:25944067--25944839,25945046--25945817	357	366	304	548
osmp.Chr01:26001880--26002390,26002776--26003228	9	22	10	28
osmp.Chr01:26425861--26426301,26438562--26438996	5259	4120	3809	6109
osmp.Chr01:26438567--26440554,26448806--26450688	272	305	264	478
osmp.Chr01:26438585--26439323,26445154--26445873	217	258	231	388
osmp.Chr01:26439684--26440272,26444279--26444859	217	258	231	388
